symbol,width,height,unit,amount,ups
23,0,0,30,1,'0271128002720200'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271175002720200'
25,0,0,30,1,'0271161002720200'
22,0,0,30,1,'0271128002720200'
16,0,0,30,1,'02710150'
21,0,0,30,1,'0271139002720200'
25,0,0,30,1,'0271160002720200'
21,0,0,30,1,'0271148002720200'
17,0,0,85,1,'02710450'
288,0,0,90,1,'02750310'
288,0,0,10,3.3,'02760220'
288,0,0,10,2.1,'02760220'
288,0,0,10,10.2,'02760220'
291,0,0,90,1,'02740060'
5,0,0,90,1,'02810100'
5,0,0,10,9.7,'02820120'
5,0,0,10,1.9,'02820120'
5,0,0,10,6.9,'02820120'
5,0,0,10,0.9,'02820120'
10,0,0,30,1,'02821230'
5,0,0,10,1.6,'02820120'
188,0,0,30,1,'02830360'
172,0,0,30,1,'02770010'
204,0.6,1.8,30,1,'02780040'
204,1.688,0.458,30,1,'02780040'
303,0.3,1.05,15,0.315,'02170040'
24,0,0,30,1,'0271173002720200'
22,0,0,30,1,'0271128002720200'
19,0,0,30,1,'02710390'
13,0,0,30,1,'02710520'
22,0,0,30,1,'0271134002720230'
25,0,0,30,1,'0271160002720200'
24,0,0,30,1,'0271176002720230'
25,0,0,30,1,'0271166002720230'
25,0,0,30,1,'0271160002720230'
23,0,0,30,1,'0271134002720230'
10,0,0,30,1,'02821240'
5,0,0,10,13.300,'02820120'
5,0,0,10,0.200,'02820120'
5,0,0,10,2.900,'02820120'
208,0,0,30,1,'02780250'
303,8.110,4.550,15,36.900,'05300910'
303,8.11,4.55,15,36.9,'02170050'
303,7.56,0.71,15,5.367,'02170050'
303,0.55,0.45,15,0.123,'02170050'
24,0,0,30,1,'0271178002720200'
24,0,0,30,1,'0271173002720200'
13,0,0,30,1,'02710520'
21,0,0,30,1,'0271142002720200'
22,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271128002720200'
24,0,0,30,1,'0271172002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271161002720200'
16,0,0,30,1,'02710150'
16,0,0,30,1,'02710300'
25,0,0,30,1,'0271162002720200'
12,0,0,30,1,'02710650'
19,0,0,30,1,'02710390'
16,0,0,30,1,'02710190'
288,0,0,10,16.8,'02760220'
288,0,0,90,1,'02750310'
291,0,0,90,1,'02740110'
291,0,0,90,1,'02740020'
288,0,0,10,7.720,'02760220'
288,0,0,10,9.720,'02760220'
295,0,0,30,1,'02761410'
288,0,0,10,2.01,'02760220'
288,0,0,10,18.5,'02760220'
5,0,0,10,3.2,'02820100'
9,0,0,30,1,'02821410'
5,0,0,90,1,'02810100'
5,0,0,10,0.39,'02820100'
5,0,0,10,3.180,'02820100'
5,0,0,10,0.760,'02820100'
5,0,0,10,1.850,'02820100'
5,0,0,10,2.46,'02820120'
5,0,0,10,10.19,'02820120'
5,0,0,10,0.24,'02820100'
5,0,0,10,7.650,'02820100'
5,0,0,10,9.2,'02820100'
5,0,0,10,0.460,'02820120'
5,0,0,10,4.93,'02820120'
5,0,0,10,1.22,'02820120'
5,0,0,10,0.14,'02820100'
5,0,0,10,1.280,'02820100'
5,0,0,10,0.15,'02820100'
5,0,0,10,0.97,'02820100'
5,0,0,10,5,'02820120'
189,0,0,30,1,'0283026102830290'
192,1.26,0.858,85,1,'02830120'
180,0,0,30,1,'02830210'
208,0,0,30,1,'02780230'
207,0.36,1.2,30,1,'02780130'
202,0.54,0.7,30,1,'02780090'
204,0.55,1.2,30,1,'02780020'
97,0,0,60,1,'02850050'
95,0,0,60,1,'02850410'
96,0,0,10,2,'02850490'
96,0,0,10,0.5,'02850490'
303,4.25,0.7,15,2.975,'02170020'
303,0.15,6.7,15,1.005,'02170020'
303,2.28,0.7,15,1.596,'02170020'
303,1.8,0.3,15,0.54,'02170110'
303,1.2,0.9,15,1.08,'02170070'
303,0.7,0.5,15,0.35,'02170020'
303,7.225,0.15,15,1.083,'02170020'
303,0.7,6.9,15,4.83,'02170020'
303,0.855,0.15,15,0.128,'02170020'
23,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271131002720220'
22,0,0,30,1,'0271128002720200'
25,0,0,30,1,'0271161002720200'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271175002720220'
24,0,0,30,1,'0271176002720220'
21,0,0,30,1,'0271148002720220'
21,0,0,30,1,'0271140002720200'
24,0,0,30,1,'0271172002720200'
16,0,0,30,1,'02710220'
14,0,0,30,1,'02710780'
12,0,0,30,1,'02710650'
13,0,0,30,1,'02710520'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271160002720220'
16,0,0,30,1,'02710160'
16,0,0,30,1,'02710140'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271162002720200'
16,0,0,30,1,'02710190'
17,0,0,85,1,'02710450'
18,0,0,85,1,'02710440'
288,0,0,90,1,'02750310'
288,0,0,10,4.400,'02760220'
288,0,0,10,24,'02760220'
288,0,0,10,6,'02760220'
288,0,0,10,7,'02761680'
291,0,0,90,1,'02740060'
291,0,0,90,1,'02740040'
302,0,0,85,1,'02740770'
290,0,0,90,1,'02740100'
288,0,0,10,1.8,'02760220'
292,0,0,85,1,'02740880'
291,0,0,90,1,'02740020'
7,0,0,30,1,'02821410'
10,0,0,30,1,'02821230'
5,0,0,10,1.400,'02820120'
5,0,0,10,2.300,'02820120'
5,0,0,10,13.300,'02820120'
5,0,0,10,9.000,'02820120'
5,0,0,10,0.3,'02820120'
5,0,0,10,0.300,'02820120'
5,0,0,10,0.400,'02820120'
5,0,0,90,1,'02810100'
5,0,0,90,4,'02810100'
179,1.301,1.75,85,1,'02830580'
191,0.7,1.1,85,1,'02830020'
189,0,0,30,1,'02830251'
180,0,0,30,1,'02830210'
166,0,0,10,2,'02770100'
166,0,0,10,4.58,'02770100'
166,0,0,10,0.8,'02770100'
172,0,0,30,1,'02770010'
165,0,0,30,1,'02770020'
202,0.6,1,30,1,'02780090'
205,0,0,30,1,'02780190'
204,0.6,1.5,30,1,'02780030'
199,0.6,1.05,30,1,'02780010'
95,0,0,60,1,'02850410'
96,0,0,10,2.80,'02850490'
96,0,0,10,1,'02850490'
97,0,0,60,1,'02850040'
25,0,0,30,1,'0271162002720200'
23,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271131002720230'
22,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0272020002711350'
23,0,0,30,1,'0272020002711280'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271173002720230'
24,0,0,30,1,'0271174002720230'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271175002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271166002720200'
16,0,0,30,1,'02710140'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710520'
25,0,0,30,1,'0271161002720200'
21,0,0,30,1,'0271140002720200'
16,0,0,30,1,'02710160'
18,0,0,85,1,'02710500'
17,0,0,85,1,'02710450'
288,0,0,10,0.8,'02760220'
288,0,0,10,3.4,'02760220'
288,0,0,10,0.6,'02760220'
288,0,0,10,7.6,'02760220'
288,0,0,90,1,'02750310'
288,0,0,10,7.1,'02760220'
288,0,0,10,8.2,'02760220'
288,0,0,10,7.8,'02760220'
290,0,0,90,1,'02740110'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740120'
291,0,0,90,1,'02740020'
295,0,0,30,1,'02761410'
292,0,0,30,1,'03880010'
5,0,0,90,1,'02810100'
9,0,0,30,1,'02822280'
9,0,0,30,1,'02822300'
9,0,0,30,1,'02822290'
10,0,0,30,1,'02821240'
7,0,0,30,1,'02821410'
5,0,0,10,0.770,'02820120'
5,0,0,10,0.950,'02820120'
5,0,0,10,7.3,'02820120'
5,0,0,10,7.970,'02820120'
5,0,0,10,0.660,'02820120'
5,0,0,10,5.86,'02820120'
5,0,0,10,4.270,'02820120'
5,0,0,10,0.540,'02820130'
5,0,0,10,1.77,'02820130'
5,0,0,10,2.370,'02820130'
5,0,0,10,3.500,'02820130'
5,0,0,10,3.170,'02820130'
5,0,0,10,1.98,'02820130'
5,0,0,10,8.840,'02820120'
191,0.7,1.05,85,1,'02830080'
189,0,0,30,1,'0283026102830290'
180,0,0,30,1,'02830200'
166,0,0,10,1.8,'02770100'
166,0,0,10,0.65,'02770100'
172,0,0,30,1,'02770010'
167,0,0,10,0.45,'02770100'
167,0,0,10,0.650,'02770100'
166,0,0,10,1.15,'02770100'
167,0,0,10,1.10,'02770100'
166,0,0,10,2.7,'02770100'
167,0,0,10,0.6,'02770100'
202,0.6,0.7,30,1,'02780090'
207,0.35,1.5,30,1,'02780150'
204,0.6,1.5,30,1,'02780040'
97,0,0,60,1,'02850040'
303,1.82,6.37,15,11.593,'02880120'
25,0,0,30,1,'0271162002720200'
23,0,0,30,1,'0271128002720200'
23,0,0,30,1,'0271131002720230'
22,0,0,30,1,'0271128002720200'
22,0,0,30,1,'0272020002711350'
23,0,0,30,1,'0272020002711280'
24,0,0,30,1,'0271173002720200'
24,0,0,30,1,'0271173002720230'
24,0,0,30,1,'0271174002720230'
24,0,0,30,1,'0271172002720200'
24,0,0,30,1,'0271175002720200'
24,0,0,30,1,'0271178002720200'
25,0,0,30,1,'0271160002720200'
25,0,0,30,1,'0271166002720200'
16,0,0,30,1,'02710140'
14,0,0,30,1,'02710780'
13,0,0,30,1,'02710520'
25,0,0,30,1,'0271161002720200'
21,0,0,30,1,'0271140002720200'
16,0,0,30,1,'02710160'
18,0,0,85,1,'02710500'
17,0,0,85,1,'02710450'
288,0,0,10,0.8,'02760220'
288,0,0,10,3.4,'02760220'
288,0,0,10,0.6,'02760220'
288,0,0,10,7.6,'02760220'
288,0,0,90,1,'02750310'
288,0,0,10,7.1,'02760220'
288,0,0,10,8.2,'02760220'
288,0,0,10,7.8,'02760220'
290,0,0,90,1,'02740110'
290,0,0,90,1,'02740090'
290,0,0,90,1,'02740120'
291,0,0,90,1,'02740020'
295,0,0,30,1,'02761410'
292,0,0,30,1,'03880010'
5,0,0,10,7.970,'02820120'
5,0,0,90,1,'02810100'
5,0,0,90,2,'02810100'
9,0,0,30,1,'02822280'
9,0,0,30,1,'02822300'
9,0,0,30,1,'02822290'
7,0,0,30,1,'02821410'
5,0,0,10,0.770,'02820120'
5,0,0,10,0.950,'02820120'
5,0,0,10,7.3,'02820120'
5,0,0,10,0.660,'02820120'
5,0,0,10,5.86,'02820120'
5,0,0,10,5.000,'02820120'
5,0,0,10,0.540,'02820130'
5,0,0,10,1.77,'02820130'
5,0,0,10,2.370,'02820130'
5,0,0,10,3.500,'02820130'
5,0,0,10,3.170,'02820130'
5,0,0,10,1.98,'02820130'
5,0,0,10,8.840,'02820120'
10,0,0,30,1,'02821240'
191,0.7,1.05,85,1,'02830080'
189,0,0,30,1,'0283026102830290'
180,0,0,30,1,'02830200'
189,0,0,30,1,'02830261'
166,0,0,10,1.8,'02770100'
166,0,0,10,0.65,'02770100'
172,0,0,30,1,'02770010'
167,0,0,10,0.45,'02770100'
167,0,0,10,0.650,'02770100'
166,0,0,10,1.15,'02770100'
167,0,0,10,1.10,'02770100'
166,0,0,10,2.7,'02770100'
167,0,0,10,0.6,'02770100'
202,0.6,0.7,30,1,'02780090'
207,0.35,1.5,30,1,'02780150'
204,0.6,1.5,30,1,'02780040'
97,0,0,60,1,'02850040'
