uses,floor,name,ceiling,width,height,hip,points,ups
1,1,1,2.4,2.73,2.73,0,4,'002640300102631190202630290'
1,1,3,2.4,1.365,0.91,0,4,'002640300102631190202630160'
1,1,4,2.4,2.275,1.82,0,4,'002640300102631190202630160'
1,2,7,2.4,5.46,0.91,0,4,'002640300102631190202630010'
1,1,8,2.6,1.365,1.82,0,4,'002640300102631190202440010'
1,1,9,2.6,1.365,1.82,0,4,'002640300102631190202440010'
1,1,11,2.4,1.365,1.82,0,4,'002640300102631190202630160'
1,1,13,2.4,0.91,2.275,0,4,'002640300102631190202630010'
1,1,14,2.57,1.365,0.91,0,4,'002640300102631190202450010'
1,2,15,2.4,1.82,3.64,0,4,'002640300102631190202630010'
1,2,11,2.4,0.91,1.82,0,4,'002640300102631190202630010'
1,2,17,2.4,1.82,2.73,0,4,'002640300102631190202630010'
1,2,19,2.4,3.64,2.73,0,4,'002640300102631190202630010'
1,2,20,2.4,3.185,3.64,0,4,'002640300102631190202630010'
1,1,8,2.3,1.52,1.82,0,4,'002460710102631190102450570202170050'
1,1,7,2.5,1.82,1.82,0,4,'002460710102631190202460270'
1,1,23,2.8,2.73,3.64,0,4,'002460710102450560202630380'
1,1,27,2.4,0.91,1,0.4,4,'102450560302460470202460270'
1,1,27,2.4,0.91,1,0,4,'102450560302460470202460270'
1,1,28,2.4,0.91,1,0,4,'102450560202460270'
1,1,7,2.45,0.91,6.37,0,4,'102450560202460270'
1,1,29,2.4,1.9,1.82,0,4,'202460270202170050'
1,1,7,2.15,1.82,2.73,0,4,'102450560202460270102460470'
1,1,32,2.8,3.64,3.64,0,4,'002460710102450560202630270'
1,1,33,2.9,3.64,3.64,0,4,'002460710102450560202630380'
1,1,32,2.3,3.64,2.73,0,4,'002460710102631200112630760202630380212460270'
1,1,19,2.3,3.64,2.73,0,4,'202630010002460680102631190112630760'
1,1,27,2.25,1.82,1.365,0,4,'202630010102631200112630760002460680'
1,1,29,2.3,2.275,1.82,0.6,4,'002640360012460170302430270312450310202430250212450130102460290'
1,1,39,2.4,2.275,1.82,0,4,'202630010002640300102631190112630760'
1,1,55,2.4,4.55,3.64,0,4,'202630010102631190112630760002640300012640050'
1,2,31,2.4,3.64,1.82,0,4,'202630010102631190112630760002640300012640050'
1,2,56,2.4,4.55,1.82,0,4,'102450290112460180112450050112451070'
1,2,27,2.3,1.82,1.365,0,4,'202630010102631190112630760002640300012640050'
1,1,26,2.4,3.53,3.53,0,4,'202450130212460200212450050212451070'
1,1,8,2.5,2.21,1.365,0,4,'102631190112630760'
1,1,27,2.45,1.82,1.51,0,4,'102631190112630760'
1,1,4,2.45,1.82,1.82,0,4,'102631190112630760'
1,1,23,2.45,3.64,3.64,0,4,'102631190112630760'
1,1,57,2.45,3.64,0.45,0,4,'102631190112630760'
1,1,14,2.4,2.73,0.91,0,4,'102631190112630760'
1,2,33,2.5,3.98,3.33,0,4,'102631190112630760'
1,2,19,2.4,3.64,3.78,0,4,'002640300102631190202630010'
1,1,59,2.8,10.01,1.05,0,4,'002640070102460410202630160'
1,1,30,2.4,2.73,3.64,0,4,'002640300102631190202630010'
1,1,60,2.8,5.46,4.69,0,4,'002640070102460410202630160'
1,1,27,2.4,1.82,0.91,0,4,'002640300102631190202630010'
1,1,7,2.4,1.82,0.91,0,4,'002640300102631190202630010'
1,1,61,2.4,1.82,1.82,0,4,'002640300102631190202630010'
1,1,32,2.4,3.64,3.64,0,4,'002460690102450530202630290'
1,2,19,2.4,2.73,3.78,0,4,'002640300102631190202630010'
1,2,32,2.4,2.73,3.78,0,4,'002460690102450530202630290'
1,1,11,2.4,1.365,0.91,0.9,4,'002640300102631190202630160302460510'
1,1,61,2.4,0.91,1.82,0,4,'002640300102631190202630010'
1,2,32,2.2,2.73,3.64,0,4,'002460690102631190202630380'
1,2,32,2.2,2.73,2.73,0,4,'002460690102631190202630380'
1,2,12,2.4,0.91,3.64,0,4,'002460710102460510202630010'
1,2,11,2.2,0.91,1.21,0.7,4,'002640300102460510202630010302631190'
1,2,19,2.2,4.095,2.73,0,4,'002640300102631190202630010'
1,3,12,2.4,0.91,1.21,0,4,'002460600102631190202630420'
1,3,46,2.4,1.82,1.82,0,4,'002460600102631190202630420'
1,1,41,2.4,2.73,0.3,0,4,'002640300102631190202630160'
3,1,46,2.25,1.96,3.81,0,4,'102450560202460290'
3,1,11,2.3,0.98,1.82,0,4,'002640300102631190202630010'
3,1,63,2.4,0.98,1.82,0,4,'002640300102631190202630010'
3,1,32,2.4,5.76,3.81,0,4,'102450560202630320'
3,1,64,2.4,5.76,1.82,0,4,'102450560202460290'
3,1,26,2.5,1.11,0.91,0,4,'002640070102460510202630090'
3,1,49,2.7,0.91,5.46,0,4,'102460550202460310'
3,2,21,1.7,0.91,0.91,0,4,'102450310202630010'
3,2,65,2.65,3.64,4.55,0,4,'102450310202630010'
3,2,12,2.5,2.73,0.91,0,4,'002640160102450570202630010'
3,1,19,2.7,2.73,3.64,0,4,'102631190112630760002640300012640050'
3,1,39,2.7,1.82,0.91,0,4,'102631190112630760002640300012640050'
3,1,68,2.7,0.455,1.82,0,4,'102631190112630760002640300012640050'
1,2,12,2.2,0.91,0.91,0,4,'002640070102450570112450480112450490112450500112450510102450530112450480112450490112450500112450510102460510'
1,2,21,2.4,0.91,0.91,0,4,'002460600102460470202460200'
1,2,21,2.4,0.91,1.82,0,4,'002460600102460470202460200'
1,3,12,2.2,2.73,0.91,0,4,'002640070102450570112450480112450490112450500112450510102450530112450480112450490112450500112450510102460510'
1,3,32,2.3,2.73,2.73,0,4,'002460760102450570112450480112450490112450500112450510102450570112450480112450490112450510202630380212460270102460510'
1,3,32,2.3,2.73,2.73,0,4,'002460720102450570112450480112450490112450500112450510102450570112450480112450490112450510202630380212460270'
1,3,32,2.35,3.64,3.64,0,4,'002460720102450570112450480112450490112450500112450510102450570112450480112450490112450510202630380212460270102631190112460470'
1,3,48,2.3,1.82,0.91,0,4,'002460720102450570112450480112450490112450500112450510102450570112450480112450490112450510102631190112460470202460310'
1,3,22,2.5,4.55,5.46,0,4,'002640300012460610102631190112460470102440200112460430112450050112451070112450330202630010202630380212460270'
1,3,46,2.45,2.73,1.82,0,4,'002640300012460610102631190112460470202630010'
1,3,11,2.45,1.82,0.91,0,4,'002640300012460610102631190112460470202630010'
1,1,11,2.4,1.52,0.91,0,4,'002640300012460610102631190112460470102440200112460430112450050112451070112450330202440030212450140'
1,1,70,2.35,0.91,1.365,0,4,'002460690102450530112450480112450490112450500112450510102450530112450480112450490112450510202460270'
